BRANCH_CODE,BRANCH_NAME,BRANCH_STREET,BRANCH_CITY,BRANCH_STATE,BRANCH_ZIP,BRANCH_PHONE
100000001,Branch_1,10 Main Street,New York,NY,75001,555100001
100000002,Branch_2,20 Main Street,Los Angeles,CA,75002,555100002
100000003,Branch_3,30 Main Street,Chicago,IL,75003,555100003
100000004,Branch_4,40 Main Street,Houston,TX,75004,555100004
100000005,Branch_5,50 Main Street,Phoenix,AZ,75005,555100005
100000006,Branch_6,60 Main Street,Philadelphia,PA,75006,555100006
100000007,Branch_7,70 Main Street,San Antonio,TX,75007,555100007
100000008,Branch_8,80 Main Street,San Diego,CA,75008,555100008
100000009,Branch_9,90 Main Street,Dallas,TX,75009,555100009
100000010,Branch_10,100 Main Street,San Jose,CA,75010,555100010
100000011,Branch_11,110 Main Street,Austin,TX,75011,555100011
100000012,Branch_12,120 Main Street,Jacksonville,FL,75012,555100012
100000013,Branch_13,130 Main Street,Fort Worth,TX,75013,555100013
100000014,Branch_14,140 Main Street,Columbus,OH,75014,555100014
100000015,Branch_15,150 Main Street,Charlotte,NC,75015,555100015
100000016,Branch_16,160 Main Street,San Francisco,CA,75016,555100016
100000017,Branch_17,170 Main Street,Indianapolis,IN,75017,555100017
100000018,Branch_18,180 Main Street,Seattle,WA,75018,555100018
100000019,Branch_19,190 Main Street,Denver,CO,75019,555100019
100000020,Branch_20,200 Main Street,Washington,DC,75020,555100020
